Samples, IMU-X,IMU-Y,IMU-Z,IMU Magnitude, ADXL-X,ADXL-Y,ADXL-Z,ADXL Magnitude
157, 7.56, 2.59, 4.87, 5.52, 9.34, -7.37, -4.94, 8.88
158, 7.84, -3.11, 9.78, 10.26, 11.22, -6.28, -11.22, 12.86
159, 8.27, -1.78, 7.44, 7.65, 14.51, -5.65, -18.91, 19.73
160, 6.19, -0.32, 7.65, 7.66, 10.04, -4.71, 3.77, 6.03
161, 6.77, 4.14, 5.11, 6.57, 9.18, 3.53, -6.28, 7.20
162, 6.95, 2.76, 4.98, 5.70, 10.83, -11.30, -9.41, 14.71
163, 8.04, -3.68, 2.87, 4.67, 11.61, -12.00, -10.51, 15.96
164, 7.10, -1.95, 6.62, 6.90, 8.87, -9.73, 0.63, 9.75
165, 7.76, -0.23, 12.44, 12.44, 10.28, -8.16, -20.95, 22.48
166, 5.36, -1.93, 5.65, 5.98, 6.51, -8.32, 8.00, 11.54
167, 6.37, 1.35, 11.05, 11.14, 11.85, -9.96, -18.67, 21.16
168, 7.52, -1.21, 3.96, 4.14, 8.00, -8.08, 0.63, 8.11
169, 6.64, -0.37, 10.04, 10.05, 8.39, -6.98, -5.02, 8.60
170, 6.29, 0.96, 10.28, 10.33, 9.18, -6.43, -10.67, 12.46
171, 5.16, -0.47, 12.38, 12.39, 8.87, -6.51, -9.34, 11.38
172, 6.41, 1.86, 5.68, 5.98, 8.87, -5.73, -12.08, 13.37
173, 7.00, 0.56, 5.69, 5.72, 8.55, -7.92, -7.53, 10.93
174, 6.38, -1.01, 10.25, 10.30, 8.39, -5.73, -5.96, 8.27
=
Samples, IMU-X,IMU-Y,IMU-Z,IMU Magnitude, ADXL-X,ADXL-Y,ADXL-Z,ADXL Magnitude
1, 5.39, 7.26, 3.96, 8.26, 9.34, -2.51, -6.83, 7.27
2, 6.89, -0.50, 6.91, 6.93, 9.10, -2.67, -6.28, 6.82
3, 6.87, 0.27, 8.11, 8.11, 8.87, -2.59, -6.28, 6.79
4, 6.49, 0.66, 8.75, 8.78, 9.10, -3.45, -7.53, 8.28
5, 6.33, 0.80, 9.26, 9.30, 9.02, -3.61, -6.98, 7.86
6, 6.43, 0.52, 9.32, 9.33, 9.02, -4.55, -6.59, 8.01
7, 6.32, 0.38, 8.33, 8.34, 8.55, -3.37, -7.53, 8.25
8, 6.00, 0.85, 8.15, 8.19, 8.16, -3.53, -6.67, 7.55
9, 6.61, 1.82, 7.26, 7.48, 8.79, -3.84, -6.90, 7.90
10, 6.69, 1.63, 7.37, 7.55, 8.08, -5.26, -5.73, 7.77
11, 6.62, 1.51, 7.52, 7.67, 9.34, -8.32, -7.53, 11.22
12, 6.87, 0.55, 7.61, 7.63, 8.63, -7.77, -2.82, 8.26
13, 6.95, 0.66, 8.66, 8.69, 10.67, -9.57, -9.73, 13.65
14, 7.40, 1.31, 6.62, 6.75, 8.63, -11.61, -1.80, 11.75
15, 6.68, -0.31, 7.26, 7.27, 9.02, -6.98, -6.98, 9.87
16, 6.54, 3.06, 5.94, 6.68, 8.47, -7.92, -3.69, 8.74
17, 6.35, 1.02, 7.59, 7.66, 9.81, -8.16, -7.37, 11.00
18, 6.71, 1.50, 9.41, 9.53, 8.87, -15.30, -4.39, 15.92
19, 7.81, -1.35, 6.87, 7.00, 10.43, -12.55, -7.45, 14.60
20, 7.46, 0.84, 6.71, 6.77, 9.65, -16.63, 0.94, 16.66
21, 7.66, 3.89, 8.85, 9.67, 9.81, -9.26, 0.08, 9.26
22, 6.29, 2.71, 9.41, 9.79, 10.04, -7.22, -3.61, 8.07
23, 6.28, 4.32, 10.48, 11.34, 10.98, -10.75, 1.96, 10.93
24, 7.72, 0.81, 5.55, 5.61, 10.43, -5.88, -9.96, 11.57
25, 6.54, 0.49, 8.54, 8.55, 7.37, -16.00, -6.98, 17.46
26, 6.43, -0.74, 12.75, 12.77, 10.98, -11.38, -8.71, 14.33
27, 7.35, 2.37, 6.69, 7.10, 12.55, -12.08, -4.63, 12.94
28, 6.39, 0.19, 7.71, 7.71, 7.22, 4.08, 8.39, 9.33
29, 6.92, 3.31, 11.46, 11.92, 9.89, -9.96, 5.26, 11.27
30, 6.40, 2.65, 6.85, 7.34, 14.83, -2.90, -9.41, 9.85
31, 7.93, 1.55, 5.24, 5.46, 14.98, -6.59, -16.32, 17.60
32, 10.59, 0.94, 8.80, 8.85, 14.91, -17.42, -2.75, 17.63
33, 6.33, 0.93, 11.72, 11.76, 12.16, -0.47, 8.08, 8.09
34, 8.52, 4.71, 5.17, 6.99, 11.53, -1.33, 8.63, 8.73
35, 7.28, 9.65, 2.23, 9.91, 11.61, 0.86, -17.42, 17.44
36, 9.08, 0.47, 10.55, 10.56, 1.02, -2.51, 4.00, 4.72
37, 4.04, -1.52, 12.80, 12.89, 14.36, -13.26, -7.45, 15.21
38, 5.45, 4.28, 3.30, 5.40, 10.83, -12.40, -18.91, 22.61
39, 9.74, 1.92, 9.02, 9.22, 12.55, -5.65, 6.98, 8.98
40, 6.50, 4.15, -2.43, 4.81, 13.26, -7.14, -7.30, 10.21
41, 6.98, -5.19, 13.78, 14.73, 11.30, -3.53, -1.33, 3.77
42, 9.46, 0.82, 2.22, 2.37, 21.65, -8.32, -25.26, 26.60
43, 4.56, -28.83, 20.40, 35.31, 7.92, -7.53, 32.01, 32.88
44, 8.59, -1.84, 9.97, 10.14, 21.10, -2.51, -31.07, 31.17
45, 10.03, -0.01, -11.61, 11.61, 12.63, -5.02, 7.22, 8.79
46, 9.02, -4.16, 20.88, 21.29, 8.32, -5.26, 30.28, 30.74
47, 7.60, 0.51, 7.23, 7.25, 22.99, -1.96, -29.58, 29.64
48, 6.33, 6.23, -4.25, 7.54, 11.85, -4.00, 13.89, 14.45
49, 7.68, -1.56, 11.86, 11.96, 9.49, -5.33, 12.08, 13.21
50, 8.80, 5.11, 8.40, 9.83, 10.98, 5.18, 9.89, 11.16
51, 7.38, 1.85, 11.41, 11.56, 11.61, -1.73, 10.04, 10.19
52, 5.65, 15.67, 3.70, 16.10, 29.42, -7.53, -44.80, 45.43
53, 7.65, 0.21, 3.47, 3.48, 10.51, 2.67, 12.94, 13.22
54, 8.92, 0.38, 13.80, 13.80, 19.22, -5.57, -36.32, 36.75
55, 6.24, 1.16, -6.27, 6.38, 13.81, 10.67, 3.14, 11.12
56, 5.74, 2.15, 11.74, 11.93, 10.90, 2.20, 18.51, 18.64
57, 7.30, -0.28, 11.63, 11.63, 15.38, -2.90, -18.28, 18.51
58, 9.78, -0.82, 1.56, 1.76, 12.55, -12.47, -3.22, 12.88
59, 9.42, -1.80, 15.76, 15.86, 8.71, 6.51, 19.30, 20.37
60, 6.23, 3.49, 9.61, 10.22, 21.42, -7.37, -11.61, 13.76
61, 7.95, -0.54, -3.24, 3.29, 16.79, 3.06, -8.55, 9.08
62, 6.77, 2.64, 6.79, 7.28, 11.61, 8.39, 14.36, 16.63
63, 5.23, -1.28, 7.44, 7.55, 21.42, -35.30, -58.13, 68.01
64, 10.44, -4.06, -14.28, 14.84, 14.98, 10.67, 4.00, 11.40
65, 8.27, 2.75, 12.80, 13.09, 12.71, 9.65, 10.28, 14.10
66, 8.64, 0.42, 11.85, 11.85, 15.69, 4.08, -22.59, 22.96
67, 10.81, -2.62, 7.03, 7.50, 17.57, 5.26, -5.26, 7.43
68, 6.71, -1.48, 4.99, 5.21, 12.24, 7.30, 6.51, 9.78
69, 7.99, 7.26, 14.12, 15.87, 13.65, 14.04, -13.81, 19.69
70, 6.70, -1.74, -0.36, 1.77, 13.10, 0.39, -7.22, 7.23
71, 8.08, -1.32, 2.71, 3.01, 12.08, 3.45, -3.30, 4.77
72, 7.14, 1.85, 19.50, 19.59, 14.12, 8.00, 6.67, 10.42
73, 7.20, 0.31, 10.88, 10.88, 19.14, 3.37, -39.85, 40.00
74, 9.96, -0.77, -10.94, 10.96, 10.75, 15.38, 6.04, 16.52
75, 9.22, 3.08, 13.51, 13.85, 5.96, 17.57, 5.26, 18.34
76, 6.18, -6.29, 11.82, 13.39, 14.75, 2.75, -22.12, 22.29
77, 7.56, 6.26, 5.41, 8.27, 7.77, 13.73, -4.47, 14.44
78, 6.09, 3.16, 14.11, 14.46, 10.98, 10.83, -12.63, 16.64
79, 6.47, -0.94, 5.79, 5.86, 15.06, -1.80, -26.05, 26.11
80, 7.05, 1.31, 8.38, 8.48, 8.79, 14.04, -5.02, 14.91
81, 5.72, 2.45, 12.19, 12.44, 41.27, 25.58, -23.14, 34.49
82, 5.60, 2.32, 1.32, 2.67, 9.26, 11.85, -11.85, 16.75
83, 6.65, 1.03, 10.26, 10.31, 9.10, 7.85, -13.02, 15.20
84, 6.92, -0.80, 7.58, 7.62, 10.04, 8.55, -15.61, 17.80
85, 6.65, 0.89, 8.32, 8.37, 9.89, 7.61, -12.87, 14.95
86, 6.84, 0.62, 8.77, 8.79, 10.04, 5.73, -13.49, 14.66
87, 7.05, -0.08, 8.20, 8.20, 10.04, 5.81, -11.69, 13.05
88, 6.83, -0.06, 8.36, 8.36, 10.43, 4.79, -14.44, 15.21
89, 6.91, 1.89, 7.31, 7.56, 10.12, 5.81, -6.98, 9.08
90, 6.74, -0.58, 9.17, 9.19, 10.51, 6.90, -12.16, 13.98
91, 7.15, 1.95, 7.76, 8.00, 9.02, 9.65, -3.53, 10.28
92, 6.20, 0.61, 10.00, 10.02, 11.69, -6.90, -16.55, 17.94
93, 4.38, -0.08, 0.06, 0.10, 10.90, 11.30, -11.30, 15.98
94, 7.11, 4.12, 9.80, 10.63, 9.65, 13.57, -13.73, 19.31
95, 8.18, 0.12, 6.38, 6.38, 11.53, -1.26, -10.51, 10.59
96, 7.49, 1.99, 8.79, 9.01, 11.30, 7.61, -8.39, 11.33
97, 7.04, 0.15, 8.24, 8.24, 14.36, 3.14, -4.47, 5.46
98, 6.79, -1.39, 4.95, 5.14, 13.26, 8.79, -4.86, 10.04
99, 6.30, 6.61, 9.65, 11.70, 12.55, 5.88, -11.92, 13.30
100, 7.29, 1.67, 5.98, 6.21, 10.20, -5.57, -9.73, 11.21
101, 6.41, 4.50, 11.09, 11.97, 11.61, 1.26, -6.83, 6.94
102, 7.50, -4.70, 1.70, 5.00, 9.57, 11.53, -10.98, 15.93
103, 8.77, -1.49, 6.04, 6.23, 13.65, 1.10, -10.67, 10.73
104, 8.41, 3.53, 6.11, 7.06, 13.42, 11.85, -0.71, 11.87
105, 9.03, -4.09, 14.59, 15.16, 17.18, 3.77, -23.61, 23.91
106, 12.72, -2.30, 1.78, 2.91, 19.14, 8.47, -1.88, 8.68
107, 7.07, 8.80, 14.01, 16.54, 14.04, 30.13, -2.35, 30.22
108, 6.76, 5.99, 4.28, 7.36, 15.22, -19.06, -16.95, 25.51
109, 8.26, 5.44, -0.06, 5.44, 13.81, 17.89, 9.73, 20.36
110, 6.15, 10.56, 9.02, 13.89, 9.65, 17.26, 0.00, 17.26
111, 9.52, -0.73, 2.20, 2.31, 14.28, 13.89, 2.20, 14.06
112, 7.10, 4.16, 8.76, 9.70, 15.77, -8.55, -8.55, 12.09
113, 7.47, -0.56, 11.70, 11.71, 13.65, 6.90, -7.85, 10.45
114, 7.58, 7.23, 6.36, 9.63, 13.65, 9.49, 7.61, 12.17
115, 6.07, 2.71, 6.80, 7.32, 14.91, 6.75, -0.08, 6.75
116, 10.23, 5.10, 7.78, 9.30, 16.95, -10.28, -7.61, 12.79
117, 7.04, 9.44, 7.91, 12.31, 13.26, 20.79, 14.98, 25.63
118, 5.37, 7.92, 7.39, 10.83, 22.59, -27.93, -19.30, 33.95
119, 7.67, 0.54, 10.47, 10.48, 12.87, -3.53, 6.35, 7.27
120, 7.86, 5.99, 11.44, 12.91, 12.47, -1.88, 8.87, 9.06
121, 8.01, -6.83, 5.68, 8.88, 9.96, -1.18, 6.59, 6.69
122, 7.56, 12.85, 11.10, 16.98, 13.26, 1.33, 12.40, 12.47
123, 7.42, 4.40, 8.44, 9.52, 14.20, -2.35, -6.83, 7.22
124, 5.28, 5.11, 9.91, 11.15, 11.38, 6.98, 8.47, 10.98
125, 7.66, 3.60, 5.08, 6.23, 19.61, -6.04, -13.49, 14.78
126, 8.60, -1.01, 1.96, 2.21, 16.00, -34.52, -0.39, 34.52
127, 8.80, 2.15, 11.98, 12.17, 18.91, -1.57, -0.71, 1.72
128, 8.92, -3.71, -5.07, 6.28, 12.24, -14.28, -7.53, 16.14
129, 7.86, 4.32, 4.07, 5.93, 16.79, -15.22, -1.41, 15.29
130, 9.30, 7.84, 4.32, 8.95, 10.83, -12.32, 4.24, 13.03
131, 7.84, -1.12, 7.91, 7.99, 12.40, 6.67, 4.16, 7.86
132, 7.07, 2.93, 7.48, 8.03, 18.91, -3.53, -11.69, 12.21
133, 6.72, 0.95, 4.83, 4.93, 9.65, 3.37, 16.63, 16.97
134, 3.89, 1.32, 13.81, 13.87, 12.08, 1.33, -3.77, 3.99
135, 8.37, 5.41, 2.28, 5.86, 11.53, 0.24, -10.28, 10.28
136, 6.83, 3.70, 9.08, 9.81, 7.77, 6.35, 10.28, 12.08
137, 6.53, -2.80, 8.95, 9.38, 13.73, -17.02, -12.08, 20.88
138, 9.09, -8.99, -4.24, 9.94, 12.08, -7.85, 13.02, 15.20
139, 9.17, 2.92, 11.20, 11.58, 10.90, 5.96, 5.57, 8.16
140, 5.36, 1.28, 9.69, 9.78, 12.08, -11.85, -13.34, 17.84
141, 6.55, 2.86, 8.34, 8.82, 11.45, -10.67, 6.28, 12.38
142, 6.87, 1.67, 16.36, 16.44, 11.14, 3.77, 7.61, 8.49
143, 6.59, 5.86, 7.18, 9.27, 17.50, -11.22, -5.02, 12.29
144, 6.42, 0.26, 10.16, 10.16, 7.53, 4.63, 24.01, 24.45
145, 8.63, 0.19, 10.87, 10.87, 14.20, 4.63, -26.36, 26.76
146, 7.28, -0.02, -3.34, 3.34, 10.04, -8.32, 5.73, 10.10
147, 8.34, 0.61, 4.00, 4.04, 8.47, 0.63, -11.30, 11.31
148, 4.93, 3.68, 0.64, 3.73, 8.08, -3.84, 15.30, 15.77
149, 5.81, 2.75, 12.09, 12.40, 9.73, -0.31, -40.80, 40.80
150, 2.35, 4.14, 0.54, 4.18, 6.59, -9.49, 14.12, 17.02
151, 7.16, -2.54, 15.89, 16.09, 7.06, -2.28, -17.89, 18.03
152, 6.59, 9.20, 1.36, 9.30, 14.12, -3.22, 3.53, 4.78
153, 5.85, -2.52, 10.74, 11.03, 8.08, -7.85, 14.28, 16.29
154, 7.00, -3.85, 7.16, 8.13, 16.87, -16.87, -23.22, 28.70
155, 7.50, -0.49, 7.99, 8.01, 8.87, -5.02, 17.10, 17.82
156, 8.30, -0.72, 5.99, 6.03, 14.44, -6.90, -28.32, 29.15
157, 10.18, 0.01, -0.77, 0.77, 15.61, -4.24, -15.30, 15.87
158, 8.33, -2.51, 6.22, 6.71, 11.61, -1.65, -6.28, 6.49
159, 8.43, 0.31, 3.69, 3.70, 10.04, -5.02, -9.81, 11.02
160, 6.53, -0.93, 6.01, 6.08, 8.16, -2.82, 4.08, 4.96
161, 6.67, -2.21, 9.83, 10.07, 12.71, 4.00, -16.79, 17.26
162, 7.04, 2.90, 1.94, 3.49, 7.30, -5.81, -6.35, 8.61
=
